Column mapping:
  timestamp <- 'sensor_timestamp'
  altitude_feet <- 'sensor_altitude_feet'
  accel_icm_x <- 'sensor_accel_icm_x'
  accel_icm_y <- 'sensor_accel_icm_y'
  accel_icm_z <- 'sensor_accel_icm_z'
  accel_bno_x <- 'sensor_accel_bno_x'
  accel_bno_y <- 'sensor_accel_bno_y'
  accel_bno_z <- 'sensor_accel_bno_z'
  gyro_x <- 'sensor_gyro_x'
  gyro_y <- 'sensor_gyro_y'
  gyro_z <- 'sensor_gyro_z'
  quat_w <- 'sensor_quat_w'
  quat_x <- 'sensor_quat_x'
  quat_y <- 'sensor_quat_y'
  quat_z <- 'sensor_quat_z'
time_s,altitude_m,velocity_mps,apogee_prediction_m,status,horizontal_velocity_mps
5.1114,223.52,-0.41043,0,ground,4.17679
5.12154,223.52,-0.412261,0,ground,4.21046
5.13187,223.517,-0.416943,0,ground,4.24473
5.14231,223.52,-0.415427,0,ground,4.27932
5.1525,223.52,-0.416881,0,ground,4.31305
5.1635,223.521,-0.417082,0,ground,4.3496
5.174,223.519,-0.420553,0,ground,4.38437
5.18432,223.52,-0.421489,0,ground,4.41854
5.19452,223.518,-0.424884,0,ground,4.45252
5.20487,223.517,-0.427815,0,ground,4.48694
5.21497,223.519,-0.427655,0,ground,4.52025
5.2259,223.513,-0.435812,0,ground,4.5566
5.23638,223.514,-0.437091,0,ground,4.59155
5.2569,223.507,-0.447372,0,ground,4.66019
5.26788,223.503,-0.45325,0,ground,4.69683
5.28864,223.5,-0.459945,0,ground,4.76583
5.29877,223.5,-0.461102,0,ground,4.79965
5.30911,223.5,-0.463299,0,ground,4.83408
5.31913,223.499,-0.465917,0,ground,4.86739
5.33013,223.5,-0.466506,0,ground,4.90375
5.34075,223.499,-0.469324,0,ground,4.93887
5.35097,223.498,-0.471585,0,ground,4.97274
5.36135,223.499,-0.471987,0,ground,5.00716
5.37232,223.497,-0.47659,0,ground,5.0434
5.38238,223.494,-0.480962,0,ground,5.0768
5.39338,223.492,-0.484482,0,ground,5.11322
5.40432,223.491,-0.487459,0,ground,5.14943
5.41529,223.49,-0.490071,0,ground,5.18581
5.42563,223.489,-0.491853,0,ground,5.22025
5.43613,223.486,-0.496964,0,ground,5.25492
5.44634,223.485,-0.499903,0,ground,5.28908
5.45667,223.482,-0.504196,0,ground,5.32333
5.46671,223.481,-0.506687,0,ground,5.3566
5.47764,223.479,-0.510841,0,ground,5.39266
5.48816,223.476,-0.51545,0,ground,5.42732
5.49838,223.474,-0.519098,0,ground,5.46119
5.50885,223.474,-0.520866,0,ground,5.49571
5.53022,223.465,-0.531484,0,ground,5.56657
5.54047,223.463,-0.534644,0,ground,5.6006
5.55071,223.462,-0.537208,0,ground,5.6345
5.56111,223.46,-0.541264,0,ground,5.66885
5.57197,223.454,-0.547733,0,ground,5.70476
5.58268,223.452,-0.55138,0,ground,5.74016
5.59281,223.451,-0.553185,0,ground,5.77373
5.60296,223.45,-0.55198,0,ground,5.79047
5.62433,223.442,-0.561062,0,ground,5.85701
5.63434,223.44,-0.564618,0,ground,5.8911
5.64442,223.438,-0.567257,0,ground,5.9247
5.65542,223.438,-0.568848,0,ground,5.96147
5.66548,223.438,-0.569709,0,ground,5.99465
5.67569,223.437,-0.57199,0,ground,6.0285
5.68593,223.437,-0.573951,0,ground,6.06233
5.6962,223.436,-0.575782,0,ground,6.0964
5.70697,223.433,-0.580235,0,ground,6.13215
5.71702,223.432,-0.582354,0,ground,6.16536
5.72775,223.431,-0.584278,0,ground,6.20113
5.73833,223.431,-0.586506,0,ground,6.23631
5.74849,223.428,-0.59047,0,ground,6.26987
5.75854,223.426,-0.593698,0,ground,6.3033
5.76923,223.424,-0.596375,0,ground,6.33885
5.78009,223.422,-0.599823,0,ground,6.37524
5.79045,223.421,-0.601837,0,ground,6.40968
5.80076,223.42,-0.604319,0,ground,6.44407
5.81105,223.418,-0.607491,0,ground,6.4783
5.82182,223.416,-0.61027,0,ground,6.51423
5.83255,223.416,-0.611667,0,ground,6.54981
5.84279,223.415,-0.613733,0,ground,6.58379
5.85297,223.413,-0.616551,0,ground,6.61757
5.87417,223.406,-0.625154,0,ground,6.68771
5.88476,223.405,-0.627843,0,ground,6.72286
5.89506,223.404,-0.630087,0,ground,6.75716
5.90515,223.403,-0.632346,0,ground,6.79062
5.91547,223.401,-0.635271,0,ground,6.82474
5.92646,223.399,-0.638313,0,ground,6.86114
5.93687,223.397,-0.640947,0,ground,6.89547
5.94702,223.395,-0.643659,0,ground,6.92932
5.95706,223.392,-0.647458,0,ground,6.9626
5.96802,223.39,-0.650004,0,ground,6.99889
5.97835,223.388,-0.65305,0,ground,7.03312
5.98911,223.387,-0.655762,0,ground,7.06844
5.99994,223.386,-0.658061,0,ground,7.10421
6.01059,223.384,-0.661184,0,ground,7.13916
6.02123,223.383,-0.662797,0,ground,7.17431
6.03203,223.382,-0.659998,0,ground,7.19244
6.05316,223.374,-0.667943,0,ground,7.25812
6.06321,223.374,-0.66466,0,ground,7.2714
6.07402,223.372,-0.667165,0,ground,7.30801
6.08444,223.37,-0.670073,0,ground,7.34256
6.09475,223.37,-0.671943,0,ground,7.37666
6.10488,223.369,-0.673453,0,ground,7.41026
6.11503,223.366,-0.672768,0,ground,7.42697
6.13623,223.358,-0.68018,0,ground,7.49263
6.14683,223.356,-0.683245,0,ground,7.52888
6.15702,223.356,-0.684868,0,ground,7.56258
6.16707,223.354,-0.687531,0,ground,7.59561
6.17721,223.352,-0.690236,0,ground,7.62921
6.18731,223.35,-0.693055,0,ground,7.66274
6.19735,223.346,-0.697522,0,ground,7.69594
6.20748,223.345,-0.699643,0,ground,7.72961
6.22863,223.334,-0.709566,0,ground,7.79997
6.2396,223.333,-0.712121,0,ground,7.83641
6.2504,223.332,-0.714444,0,ground,7.87218
6.26045,223.331,-0.716276,0,ground,7.90558
6.27049,223.329,-0.718332,0,ground,7.93902
6.28137,223.329,-0.719226,0,ground,7.97528
6.29219,223.328,-0.720981,0,ground,8.01122
6.30253,223.325,-0.724526,0,ground,8.0456
6.31289,223.325,-0.725855,0,ground,8.07997
6.32383,223.324,-0.727523,0,ground,8.11639
6.33439,223.323,-0.728878,0,ground,8.15148
6.34469,223.322,-0.730811,0,ground,8.18568
6.35487,223.321,-0.732771,0,ground,8.21954
6.37615,223.311,-0.741928,0,ground,8.29051
6.38671,223.308,-0.745215,0,ground,8.32549
6.39786,223.305,-0.748435,0,ground,8.36272
6.40854,223.301,-0.752028,0,ground,8.39833
6.41903,223.298,-0.7551,0,ground,8.43331
6.42911,223.295,-0.75805,0,ground,8.46661
6.43914,223.294,-0.760368,0,ground,8.49994
6.4492,223.292,-0.762153,0,ground,8.53322
6.46014,223.29,-0.765038,0,ground,8.56952
6.47016,223.287,-0.767516,0,ground,8.60282
6.4802,223.285,-0.770183,0,ground,8.63601
6.4912,223.282,-0.773363,0,ground,8.67239
6.5016,223.279,-0.776001,0,ground,8.70696
6.51209,223.276,-0.779558,0,ground,8.74162
6.52214,223.274,-0.777049,0,ground,8.75824
6.53297,223.271,-0.779646,0,ground,8.79359
6.54347,223.267,-0.783182,0,ground,8.82831
6.55447,223.266,-0.785599,0,ground,8.86448
6.56464,223.264,-0.787399,0,ground,8.89814
6.57524,223.261,-0.790374,0,ground,8.93311
6.58613,223.258,-0.792788,0,ground,8.9692
6.59655,223.258,-0.789537,0,ground,8.98652
6.61794,223.247,-0.798475,0,ground,9.05305
6.63881,223.237,-0.806545,0,ground,9.1211
6.64899,223.237,-0.807772,0,ground,9.15518
6.65996,223.236,-0.808549,0,ground,9.19151
6.6708,223.234,-0.811321,0,ground,9.22749
6.68092,223.232,-0.812912,0,ground,9.26094
6.69191,223.231,-0.810165,0,ground,9.27948
6.71299,223.22,-0.817836,0,ground,9.34557
6.72303,223.221,-0.81824,0,ground,9.37991
6.73384,223.219,-0.820224,0,ground,9.41618
6.74451,223.217,-0.82256,0,ground,9.45157
6.75496,223.217,-0.822987,0,ground,9.48642
6.76511,223.218,-0.82265,0,ground,9.52011
6.77609,223.219,-0.822328,0,ground,9.55647
6.78637,223.217,-0.824431,0,ground,9.59043
6.79725,223.215,-0.826463,0,ground,9.6267
6.80789,223.213,-0.828407,0,ground,9.6621
6.81839,223.212,-0.829656,0,ground,9.69681
6.82934,223.211,-0.830868,0,ground,9.73321
6.84,223.211,-0.831818,0,ground,9.76879
6.85108,223.208,-0.834342,0,ground,9.80533
6.86173,223.208,-0.834798,0,ground,9.84095
6.87236,223.207,-0.835809,0,ground,9.87617
6.88238,223.204,-0.838612,0,ground,9.90966
6.89253,223.204,-0.839251,0,ground,9.9433
6.90354,223.203,-0.840901,0,ground,9.98
6.91371,223.201,-0.842575,0,ground,10.0139
6.92378,223.2,-0.843599,0,ground,10.0472
6.93385,223.2,-0.844219,0,ground,10.0808
6.94486,223.198,-0.846281,0,ground,10.1174
6.9558,223.195,-0.849426,0,ground,10.1536
6.96607,223.195,-0.849649,0,ground,10.1877
6.97608,223.192,-0.851863,0,ground,10.2208
6.9864,223.19,-0.853401,0,ground,10.2549
6.99715,223.188,-0.855153,0,ground,10.2905
7.0077,223.185,-0.857394,0,ground,10.3258
7.01802,223.183,-0.859646,0,ground,10.3597
7.02809,223.181,-0.861226,0,ground,10.3932
7.03816,223.179,-0.86332,0,ground,10.4266
7.04829,223.179,-0.86386,0,ground,10.4601
7.05836,223.178,-0.865012,0,ground,10.4936
7.06864,223.177,-0.866168,0,ground,10.5275
7.07962,223.174,-0.868435,0,ground,10.5639
7.09008,223.173,-0.869372,0,ground,10.5987
7.12129,223.154,-0.882555,0,ground,10.7016
7.13199,223.153,-0.883478,0,ground,10.7369
7.1423,223.151,-0.884115,0,ground,10.7709
7.15249,223.151,-0.884679,0,ground,10.8045
7.16269,223.149,-0.881879,0,ground,10.821
7.18421,223.137,-0.89058,0,ground,10.8878
7.19432,223.136,-0.891437,0,ground,10.9225
7.20464,223.136,-0.891607,0,ground,10.9571
7.21485,223.135,-0.892567,0,ground,10.9912
7.22506,223.135,-0.892699,0,ground,11.025
7.2351,223.134,-0.893568,0,ground,11.0583
7.2461,223.134,-0.893426,0,ground,11.095
7.25623,223.134,-0.89373,0,ground,11.1284
7.2672,223.132,-0.894976,0,ground,11.1648
7.27728,223.132,-0.895552,0,ground,11.1979
7.28731,223.134,-0.889966,0,ground,11.2148
7.30849,223.123,-0.897648,0,ground,11.2813
7.31868,223.121,-0.899234,0,ground,11.3163
7.3287,223.119,-0.899966,0,ground,11.3498
7.33916,223.118,-0.901015,0,ground,11.3843
7.35015,223.118,-0.901183,0,ground,11.421
7.36029,223.117,-0.901361,0,ground,11.4548
7.37157,223.117,-0.902186,0,ground,11.4924
7.38249,223.116,-0.902153,0,ground,11.5286
7.39267,223.116,-0.902896,0,ground,11.5624
7.40366,223.113,-0.904932,0,ground,11.5988
7.41424,223.112,-0.906213,0,ground,11.634
7.42464,223.112,-0.905818,0,ground,11.6685
7.43557,223.112,-0.905782,0,ground,11.7048
7.45646,223.102,-0.912938,0,ground,11.7741
7.46665,223.102,-0.91343,0,ground,11.8078
7.47693,223.103,-0.912705,0,ground,11.8421
7.48776,223.101,-0.913485,0,ground,11.8782
7.49781,223.1,-0.914376,0,ground,11.9117
7.50883,223.1,-0.909365,0,ground,11.9304
7.53014,223.091,-0.915111,0,ground,11.9967
7.55277,223.08,-0.92273,0,ground,12.0711
7.56343,223.079,-0.923166,0,ground,12.1068
7.57385,223.08,-0.917731,0,ground,12.1216
7.61582,223.051,-0.935186,0,ground,12.2485
7.62618,223.052,-0.93453,0,ground,12.2861
7.6372,223.051,-0.934639,0,ground,12.3229
7.64785,223.05,-0.935331,0,ground,12.3581
7.65803,223.05,-0.935042,0,ground,12.3919
7.66886,223.049,-0.935625,0,ground,12.4279
7.67985,223.05,-0.92984,0,ground,12.4463
7.70106,223.041,-0.934957,0,ground,12.5124
7.71195,223.04,-0.935463,0,ground,12.5496
7.72292,223.039,-0.935935,0,ground,12.5858
7.73354,223.04,-0.934231,0,ground,12.6209
7.74436,223.039,-0.934613,0,ground,12.6571
7.75493,223.04,-0.934078,0,ground,12.6921
7.76515,223.04,-0.933299,0,ground,12.7259
7.77738,223.041,-0.932571,0,ground,12.7664
7.79893,223.031,-0.939302,0,ground,12.8374
7.80912,223.032,-0.937365,0,ground,12.8714
7.81926,223.032,-0.936805,0,ground,12.9053
7.82946,223.032,-0.936114,0,ground,12.9391
7.84042,223.033,-0.934825,0,ground,12.9757
7.85142,223.034,-0.933811,0,ground,13.012
7.86161,223.035,-0.932739,0,ground,13.0458
7.87178,223.037,-0.931062,0,ground,13.0797
7.88279,223.038,-0.924748,0,ground,13.0986
7.90409,223.028,-0.93103,0,ground,13.1649
7.91439,223.029,-0.930335,0,ground,13.2004
7.92474,223.029,-0.929728,0,ground,13.2347
7.935,223.03,-0.928593,0,ground,13.2689
7.94682,223.031,-0.927719,0,ground,13.3082
7.95684,223.032,-0.92666,0,ground,13.3415
7.96692,223.034,-0.925215,0,ground,13.3749
7.97709,223.035,-0.924052,0,ground,13.409
7.98795,223.034,-0.924322,0,ground,13.445
7.9985,223.033,-0.924478,0,ground,13.4799
8.00948,223.033,-0.919529,0,ground,13.4984
8.0303,223.024,-0.924908,0,ground,13.5635
8.04068,223.023,-0.925837,0,ground,13.599
8.05083,223.024,-0.924577,0,ground,13.6328
8.06281,223.023,-0.924955,0,ground,13.6725
8.08389,223.015,-0.929492,0,ground,13.7426
8.09404,223.018,-0.927242,0,ground,13.7758
8.10422,223.02,-0.925254,0,ground,13.8095
8.11442,223.022,-0.923205,0,ground,13.843
8.12499,223.024,-0.921579,0,ground,13.8781
8.13601,223.025,-0.920383,0,ground,13.9147
8.14617,223.027,-0.919059,0,ground,13.9485
8.15622,223.028,-0.918015,0,ground,13.9818
8.16628,223.029,-0.917087,0,ground,14.0152
8.1765,223.028,-0.917419,0,ground,14.0491
8.18738,223.028,-0.917689,0,ground,14.0851
8.19805,223.028,-0.912695,0,ground,14.103
8.21945,223.019,-0.917233,0,ground,14.1695
8.23032,223.02,-0.916527,0,ground,14.2063
8.24038,223.02,-0.9167,0,ground,14.2396
8.2505,223.023,-0.914079,0,ground,14.2732
8.26071,223.024,-0.912882,0,ground,14.3069
8.27075,223.026,-0.911303,0,ground,14.3401
8.28098,223.026,-0.91146,0,ground,14.3738
8.29402,223.027,-0.910173,0,ground,14.4171
8.3041,223.027,-0.910455,0,ground,14.4505
8.3151,223.027,-0.909944,0,ground,14.487
8.32579,223.029,-0.907944,0,ground,14.5226
