time_s,status,altitude_m,vertical_velocity_mps,logged_apogee_m,legacy_apogee_m,safer_apogee_m,legacy_horizontal_speed_mps,safer_horizontal_speed_mps,zenith_deg
601.2388916015625,burn,202.3654022216797,10.68394660949707,0.0,208.18468999212644,208.18468999212644,0.062384302978103115,0.03878067684335025,0.3345502161079086
601.28466796875,burn,203.1138153076172,12.269506454467773,0.0,210.77751219842526,210.77751219842526,0.26914247782903195,0.1253874326611107,1.2566320773206976
601.3099975585938,burn,203.68075561523438,13.27430248260498,0.0,212.6542130908813,212.6542130908813,0.3992404571951395,0.17729775440816267,1.7227194905273133
601.3643798828125,burn,204.73971557617188,15.179533004760742,0.0,216.4743923837891,216.4743923837891,0.43627248760604115,0.27008619335412765,1.6462754797280017
601.399658203125,burn,205.6522979736328,16.593914031982422,0.0,219.69127032800287,219.69127032800287,0.14940721058140413,0.32525862165158265,0.5158620966179663
601.4385375976562,burn,206.73306274414062,18.168970108032227,0.0,223.5530124494019,223.5530124494019,0.2722369502458056,0.3806026076217274,0.8584339696996582
601.4631958007812,burn,207.60183715820312,19.326940536499023,0.0,226.64231823120122,226.64231823120122,0.5301770535962368,0.4114961397247484,1.5713449961600825
601.5146484375,burn,209.11465454101562,21.336551666259766,0.0,232.29844768723427,232.25417407079792,1.1422722285056282,0.45998235532023274,3.0644576458970736
601.5439453125,burn,210.3133087158203,22.784656524658203,0.0,236.58077351589236,236.5928053185425,0.39503259189827483,0.48491611718870603,0.9932751374072268
601.5853271484375,burn,211.91346740722656,24.656909942626953,0.0,242.87478725805667,242.87478725805667,0.22249350099964232,0.5143109113272024,0.5169987895062446
601.6124877929688,burn,213.3654327392578,26.264177322387695,0.0,248.53329000970464,248.53329000970464,0.5625415960084617,0.5328425462690013,1.2270070922911192
601.673583984375,burn,215.8594512939453,28.91012954711914,0.0,258.4596899353027,258.4596899353027,1.0967180030036683,0.604747070285386,2.1724979060998195
601.7035522460938,burn,217.71585083007812,30.810028076171875,0.0,266.09763667382816,266.09763667382816,1.4180951194910894,0.6550797656735359,2.635296583221074
601.746826171875,burn,220.0480194091797,33.076499938964844,0.0,275.8253932016601,275.8253932016601,1.7785681141144134,0.7303378807631897,3.0779073555898866
601.763671875,burn,221.6776885986328,34.685699462890625,0.0,282.998790665039,282.998790665039,1.953607418623091,0.7616403067124032,3.223672130214421
